coin,method,side,entry_dt,entry,exit_dt,exit,reason,pnl_pct,pnl_usd
ETH,QR7_A,S,2025-09-18T01:40:00.000,4624.15,2025-09-18T02:20:00.000,4605.8068733887185,VWAP,0.2967,7.42
ETH,QR7_A,S,2025-09-18T03:20:00.000,4629.42,2025-09-18T03:55:00.000,4611.647178233687,VWAP,0.2839,7.1
ETH,QR7_A,L,2025-09-18T06:25:00.000,4565.6,2025-09-18T08:35:00.000,4596.694108541537,VWAP,0.5811,14.53
ETH,QR7_A,S,2025-09-18T16:45:00.000,4628.0,2025-09-18T17:35:00.000,4596.200146893908,VWAP,0.5871,14.68
ETH,QR7_A,S,2025-09-19T01:35:00.000,4612.58,2025-09-19T01:40:00.000,4604.25527990046,VWAP,0.0805,2.01
ETH,QR7_A,L,2025-09-19T02:30:00.000,4590.01,2025-09-19T03:25:00.000,4580.4122595522085,SL,-0.3091,-7.73
ETH,QR7_A,L,2025-09-19T03:35:00.000,4568.85,2025-09-19T03:40:00.000,4544.503649849051,SL,-0.6329,-15.82
ETH,QR7_A,L,2025-09-19T15:10:00.000,4474.55,2025-09-19T18:10:00.000,4433.570089620961,SL,-1.0158,-25.4
ETH,QR7_A,L,2025-09-20T01:40:00.000,4464.15,2025-09-20T01:40:00.000,4466.110996482353,VWAP,-0.0561,-1.4
ETH,QR7_A,L,2025-09-20T02:25:00.000,4460.47,2025-09-20T02:40:00.000,4464.129818011146,VWAP,-0.0179,-0.45
ETH,QR7_A,S,2025-09-20T04:55:00.000,4473.6,2025-09-20T05:00:00.000,4464.796859643415,VWAP,0.0968,2.42
ETH,QR7_A,S,2025-09-20T05:30:00.000,4474.41,2025-09-20T05:30:00.000,4479.763819979609,SL,-0.2197,-5.49
ETH,QR7_A,S,2025-09-20T05:40:00.000,4472.27,2025-09-20T07:30:00.000,4467.324520780907,VWAP,0.0106,0.26
ETH,QR7_A,S,2025-09-20T08:05:00.000,4477.99,2025-09-20T08:50:00.000,4468.459071179214,VWAP,0.1128,2.82
ETH,QR7_A,L,2025-09-20T09:40:00.000,4459.24,2025-09-20T10:00:00.000,4467.333657645353,VWAP,0.0815,2.04
ETH,QR7_A,S,2025-09-20T15:00:00.000,4485.44,2025-09-20T15:10:00.000,4498.277191161577,SL,-0.3862,-9.65
ETH,QR7_A,S,2025-09-20T15:35:00.000,4496.75,2025-09-20T17:10:00.000,4476.792541787693,VWAP,0.3438,8.6
ETH,QR7_A,L,2025-09-21T02:20:00.000,4472.2,2025-09-21T02:20:00.000,4464.200232264745,SL,-0.2789,-6.97
ETH,QR7_A,S,2025-09-21T06:50:00.000,4485.05,2025-09-21T07:50:00.000,4475.270895079889,VWAP,0.118,2.95
ETH,QR7_A,L,2025-09-21T09:20:00.000,4459.61,2025-09-21T09:25:00.000,4450.632456669616,SL,-0.3013,-7.53
ETH,QR7_A,L,2025-09-21T09:35:00.000,4450.76,2025-09-21T12:20:00.000,4468.068393261178,VWAP,0.2889,7.22
ETH,QR7_A,S,2025-09-21T18:00:00.000,4489.52,2025-09-21T20:55:00.000,4472.47714391996,VWAP,0.2796,6.99
ETH,QR7_A,L,2025-09-21T22:25:00.000,4453.11,2025-09-21T23:55:00.000,4443.01,EOD,-0.3268,-8.17
ETH,QR7_A,L,2025-09-22T02:30:00.000,4307.54,2025-09-22T05:55:00.000,4243.137603419922,SL,-1.5951,-39.88
ETH,QR7_A,L,2025-09-22T06:05:00.000,4131.94,2025-09-22T23:55:00.000,4196.86,EOD,1.4712,36.78
ETH,QR7_A,L,2025-09-23T01:15:00.000,4175.28,2025-09-23T01:25:00.000,4192.984883662063,VWAP,0.324,8.1
ETH,QR7_A,L,2025-09-23T01:45:00.000,4171.9,2025-09-23T02:30:00.000,4153.8566355779585,SL,-0.5325,-13.31
ETH,QR7_A,L,2025-09-23T02:55:00.000,4144.01,2025-09-23T03:05:00.000,4125.571010700454,SL,-0.545,-13.62
ETH,QR7_A,S,2025-09-23T09:15:00.000,4219.99,2025-09-23T11:05:00.000,4181.815601687319,VWAP,0.8046,20.12
ETH,QR7_A,L,2025-09-23T17:45:00.000,4142.76,2025-09-23T19:15:00.000,4178.863838831948,VWAP,0.7715,19.29
ETH,QR7_A,L,2025-09-24T03:20:00.000,4153.12,2025-09-24T03:25:00.000,4136.726602750178,SL,-0.4947,-12.37
ETH,QR7_A,L,2025-09-24T03:40:00.000,4133.51,2025-09-24T04:05:00.000,4110.836658947726,SL,-0.6485,-16.21
ETH,QR7_A,L,2025-09-24T04:15:00.000,4097.8,2025-09-24T04:30:00.000,4136.386080319636,VWAP,0.8416,21.04
ETH,QR7_A,L,2025-09-25T01:05:00.000,4126.9,2025-09-25T01:10:00.000,4133.215791537993,VWAP,0.053,1.33
ETH,QR7_A,L,2025-09-25T01:25:00.000,4110.65,2025-09-25T01:25:00.000,4098.265433799014,SL,-0.4013,-10.03
ETH,QR7_A,L,2025-09-25T01:35:00.000,4096.32,2025-09-25T01:40:00.000,4078.0466096642567,SL,-0.5461,-13.65
ETH,QR7_A,L,2025-09-25T03:25:00.000,4053.1,2025-09-25T04:15:00.000,4018.668489415381,SL,-0.9495,-23.74
ETH,QR7_A,L,2025-09-25T04:25:00.000,4031.16,2025-09-25T04:50:00.000,3972.5570418081043,SL,-1.5537,-38.84
ETH,QR7_A,L,2025-09-25T12:35:00.000,3984.7,2025-09-25T17:20:00.000,3877.098144317018,SL,-2.8004,-70.01
ETH,QR7_A,L,2025-09-25T17:30:00.000,3899.05,2025-09-25T17:55:00.000,3840.456817784369,SL,-1.6028,-40.07
ETH,QR7_A,L,2025-09-25T18:15:00.000,3858.92,2025-09-25T23:55:00.000,3873.1,EOD,0.2675,6.69
ETH,QR7_A,S,2025-09-26T01:05:00.000,3928.5,2025-09-26T01:45:00.000,3956.0958359718225,SL,-0.8025,-20.06
ETH,QR7_A,L,2025-09-26T10:15:00.000,3885.28,2025-09-26T12:30:00.000,3920.569711724131,VWAP,0.8083,20.21
ETH,QR7_A,S,2025-09-26T14:00:00.000,3968.86,2025-09-26T14:25:00.000,3927.2203212273407,VWAP,0.9492,23.73
ETH,QR7_A,S,2025-09-26T16:20:00.000,3978.98,2025-09-26T17:20:00.000,4005.1974753923364,SL,-0.7589,-18.97
ETH,QR7_A,S,2025-09-26T19:05:00.000,4029.49,2025-09-26T23:55:00.000,4030.17,EOD,-0.1169,-2.92
ETH,QR7_A,L,2025-09-27T01:15:00.000,4020.57,2025-09-27T01:15:00.000,4023.296859831043,VWAP,-0.0322,-0.8
ETH,QR7_A,L,2025-09-27T01:30:00.000,4013.02,2025-09-27T02:00:00.000,4018.6911821647027,VWAP,0.0413,1.03
ETH,QR7_A,L,2025-09-27T07:50:00.000,4008.5,2025-09-27T08:05:00.000,3998.6166503655277,SL,-0.3466,-8.66
ETH,QR7_A,L,2025-09-27T08:15:00.000,3988.93,2025-09-27T09:05:00.000,3973.7411454402254,SL,-0.4808,-12.02
ETH,QR7_A,L,2025-09-27T09:20:00.000,3978.0,2025-09-27T10:35:00.000,4002.7894147751763,VWAP,0.5232,13.08
ETH,QR7_A,S,2025-09-27T12:50:00.000,4021.3,2025-09-27T15:00:00.000,4007.161402583738,VWAP,0.2516,6.29
ETH,QR7_A,L,2025-09-28T01:10:00.000,4006.28,2025-09-28T01:40:00.000,3995.0898469683107,SL,-0.3793,-9.48
